L0	L1	L2	L3	L4
05.09.1901	09.1901	Q3 1901	1901	*
08.1983	08.1983	Q3 1983	1983	*
27.01.1945	01.1945	Q1 1945	1945	*
21.11.1948	11.1948	Q4 1948	1948	*
28.05.1885	05.1885	Q2 1885	1885	*
18.07.1899	07.1899	Q3 1899	1899	*
26.02.1902	02.1902	Q1 1902	1902	*
12.06.2007	06.2007	Q2 2007	2007	*
18.07.1885	07.1885	Q3 1885	1885	*
10.02.1900	02.1900	Q1 1900	1900	*
22.08.1957	08.1957	Q3 1957	1957	*
31.08.1952	08.1952	Q3 1952	1952	*
14.04.1880	04.1880	Q2 1880	1880	*
21.12.1978	12.1978	Q4 1978	1978	*
04.12.2011	12.2011	Q4 2011	2011	*
14.03.1913	03.1913	Q1 1913	1913	*
17.04.1872	04.1872	Q2 1872	1872	*
03.02.2016	02.2016	Q1 2016	2016	*
10.04.1877	04.1877	Q2 1877	1877	*
22.11.1853	11.1853	Q4 1853	1853	*
04.03.2005	03.2005	Q1 2005	2005	*
11.1971	11.1971	Q4 1971	1971	*
25.06.1895	06.1895	Q2 1895	1895	*
21.12.1999	12.1999	Q4 1999	1999	*
11.09.1982	09.1982	Q3 1982	1982	*
05.06.1913	06.1913	Q2 1913	1913	*
29.09.1870	09.1870	Q3 1870	1870	*
26.05.1873	05.1873	Q2 1873	1873	*
06.02.2021	02.2021	Q1 2021	2021	*
12.04.1873	04.1873	Q2 1873	1873	*
28.02.1871	02.1871	Q1 1871	1871	*
25.07.1881	07.1881	Q3 1881	1881	*
15.04.1857	04.1857	Q2 1857	1857	*
20.12.1885	12.1885	Q4 1885	1885	*
18.02.1959	02.1959	Q1 1959	1959	*
17.05.1925	05.1925	Q2 1925	1925	*
10.03.1881	03.1881	Q1 1881	1881	*
13.09.1946	09.1946	Q3 1946	1946	*
12.10.1900	10.1900	Q4 1900	1900	*
21.12.1930	12.1930	Q4 1930	1930	*
08.04.1920	04.1920	Q2 1920	1920	*
29.03.1870	03.1870	Q1 1870	1870	*
20.06.1959	06.1959	Q2 1959	1959	*
02.12.1908	12.1908	Q4 1908	1908	*
04.04.1854	04.1854	Q2 1854	1854	*
14.03.1897	03.1897	Q1 1897	1897	*
16.10.1937	10.1937	Q4 1937	1937	*
28.01.1975	01.1975	Q1 1975	1975	*
13.07.1982	07.1982	Q3 1982	1982	*
23.01.1881	01.1881	Q1 1881	1881	*
17.05.2013	05.2013	Q2 2013	2013	*
02.01.1921	01.1921	Q1 1921	1921	*
23.04.1891	04.1891	Q2 1891	1891	*
28.06.1923	06.1923	Q2 1923	1923	*
18.06.2018	06.2018	Q2 2018	2018	*
13.09.1905	09.1905	Q3 1905	1905	*
04.08.1971	08.1971	Q3 1971	1971	*
27.10.1899	10.1899	Q4 1899	1899	*
14.02.1864	02.1864	Q1 1864	1864	*
23.12.1975	12.1975	Q4 1975	1975	*
19.02.1877	02.1877	Q1 1877	1877	*
28.06.1912	06.1912	Q2 1912	1912	*
10.08.1916	08.1916	Q3 1916	1916	*
28.04.2010	04.2010	Q2 2010	2010	*
13.01.1991	01.1991	Q1 1991	1991	*
27.03.2000	03.2000	Q1 2000	2000	*
30.05.1933	05.1933	Q2 1933	1933	*
06.1865	06.1865	Q2 1865	1865	*
31.12.1871	12.1871	Q4 1871	1871	*
11.1925	11.1925	Q4 1925	1925	*
14.02.1994	02.1994	Q1 1994	1994	*
17.02.1987	02.1987	Q1 1987	1987	*
18.07.1908	07.1908	Q3 1908	1908	*
06.1913	06.1913	Q2 1913	1913	*
13.11.1921	11.1921	Q4 1921	1921	*
29.06.1850	06.1850	Q2 1850	1850	*
24.02.1996	02.1996	Q1 1996	1996	*
09.1893	09.1893	Q3 1893	1893	*
30.08.1891	08.1891	Q3 1891	1891	*
31.10.1989	10.1989	Q4 1989	1989	*
14.06.1885	06.1885	Q2 1885	1885	*
23.04.1945	04.1945	Q2 1945	1945	*
19.03.2021	03.2021	Q1 2021	2021	*
26.08.1868	08.1868	Q3 1868	1868	*
06.01.1968	01.1968	Q1 1968	1968	*
30.05.1873	05.1873	Q2 1873	1873	*
06.07.1998	07.1998	Q3 1998	1998	*
14.07.1996	07.1996	Q3 1996	1996	*
21.06.1982	06.1982	Q2 1982	1982	*
23.10.1915	10.1915	Q4 1915	1915	*
25.11.1958	11.1958	Q4 1958	1958	*
14.04.1854	04.1854	Q2 1854	1854	*
28.09.1901	09.1901	Q3 1901	1901	*
13.06.2007	06.2007	Q2 2007	2007	*
22.08.1980	08.1980	Q3 1980	1980	*
05.11.1999	11.1999	Q4 1999	1999	*
19.08.1888	08.1888	Q3 1888	1888	*
16.10.1898	10.1898	Q4 1898	1898	*
31.05.1918	05.1918	Q2 1918	1918	*
22.01.1963	01.1963	Q1 1963	1963	*
27.09.2006	09.2006	Q3 2006	2006	*
23.05.1916	05.1916	Q2 1916	1916	*
03.07.1962	07.1962	Q3 1962	1962	*
01.05.2004	05.2004	Q2 2004	2004	*
22.01.1948	01.1948	Q1 1948	1948	*
09.04.2001	04.2001	Q2 2001	2001	*
12.06.1978	06.1978	Q2 1978	1978	*
14.09.2017	09.2017	Q3 2017	2017	*
17.07.1909	07.1909	Q3 1909	1909	*
09.09.1896	09.1896	Q3 1896	1896	*
10.11.1923	11.1923	Q4 1923	1923	*
16.01.1922	01.1922	Q1 1922	1922	*
20.07.2015	07.2015	Q3 2015	2015	*
11.1859	11.1859	Q4 1859	1859	*
04.03.1945	03.1945	Q1 1945	1945	*
10.1984	10.1984	Q4 1984	1984	*
20.07.1978	07.1978	Q3 1978	1978	*
28.09.1964	09.1964	Q3 1964	1964	*
02.06.2011	06.2011	Q2 2011	2011	*
19.01.1931	01.1931	Q1 1931	1931	*
12.1874	12.1874	Q4 1874	1874	*
03.08.1881	08.1881	Q3 1881	1881	*
09.02.1889	02.1889	Q1 1889	1889	*
07.12.1934	12.1934	Q4 1934	1934	*
27.04.1946	04.1946	Q2 1946	1946	*
25.08.1864	08.1864	Q3 1864	1864	*
14.06.1901	06.1901	Q2 1901	1901	*
04.11.1861	11.1861	Q4 1861	1861	*
02.09.1879	09.1879	Q3 1879	1879	*
08.05.1970	05.1970	Q2 1970	1970	*
20.11.1970	11.1970	Q4 1970	1970	*
12.10.1918	10.1918	Q4 1918	1918	*
11.06.1882	06.1882	Q2 1882	1882	*
22.03.1913	03.1913	Q1 1913	1913	*
09.10.1867	10.1867	Q4 1867	1867	*
22.11.1955	11.1955	Q4 1955	1955	*
19.02.1918	02.1918	Q1 1918	1918	*
23.04.2018	04.2018	Q2 2018	2018	*
20.05.1945	05.1945	Q2 1945	1945	*
25.01.1889	01.1889	Q1 1889	1889	*
19.03.1879	03.1879	Q1 1879	1879	*
04.08.1886	08.1886	Q3 1886	1886	*
05.02.1910	02.1910	Q1 1910	1910	*
08.2009	08.2009	Q3 2009	2009	*
06.05.1951	05.1951	Q2 1951	1951	*
02.04.1967	04.1967	Q2 1967	1967	*
24.05.1944	05.1944	Q2 1944	1944	*
17.08.1876	08.1876	Q3 1876	1876	*
15.07.1908	07.1908	Q3 1908	1908	*
04.07.2000	07.2000	Q3 2000	2000	*
12.05.1875	05.1875	Q2 1875	1875	*
27.05.1877	05.1877	Q2 1877	1877	*
04.04.1859	04.1859	Q2 1859	1859	*
25.01.1854	01.1854	Q1 1854	1854	*
09.08.1854	08.1854	Q3 1854	1854	*
01.12.1912	12.1912	Q4 1912	1912	*
07.11.1868	11.1868	Q4 1868	1868	*
10.03.1941	03.1941	Q1 1941	1941	*
22.12.1967	12.1967	Q4 1967	1967	*
09.01.1978	01.1978	Q1 1978	1978	*
26.04.1928	04.1928	Q2 1928	1928	*
12.1996	12.1996	Q4 1996	1996	*
08.02.2020	02.2020	Q1 2020	2020	*
12.06.1902	06.1902	Q2 1902	1902	*
13.12.1859	12.1859	Q4 1859	1859	*
04.02.1933	02.1933	Q1 1933	1933	*
03.1881	03.1881	Q1 1881	1881	*
01.12.2001	12.2001	Q4 2001	2001	*
23.06.2008	06.2008	Q2 2008	2008	*
19.05.1999	05.1999	Q2 1999	1999	*
01.07.1956	07.1956	Q3 1956	1956	*
16.12.1985	12.1985	Q4 1985	1985	*
16.05.1898	05.1898	Q2 1898	1898	*
10.06.1958	06.1958	Q2 1958	1958	*
27.06.1935	06.1935	Q2 1935	1935	*
11.02.2016	02.2016	Q1 2016	2016	*
14.12.1931	12.1931	Q4 1931	1931	*
02.10.1895	10.1895	Q4 1895	1895	*
26.08.1888	08.1888	Q3 1888	1888	*
09.04.1873	04.1873	Q2 1873	1873	*
30.01.1967	01.1967	Q1 1967	1967	*
05.01.1851	01.1851	Q1 1851	1851	*
06.05.1858	05.1858	Q2 1858	1858	*
02.11.2015	11.2015	Q4 2015	2015	*
19.01.2013	01.2013	Q1 2013	2013	*
26.10.1913	10.1913	Q4 1913	1913	*
29.12.1858	12.1858	Q4 1858	1858	*
07.07.1896	07.1896	Q3 1896	1896	*
18.08.1974	08.1974	Q3 1974	1974	*
28.10.2005	10.2005	Q4 2005	2005	*
18.10.1891	10.1891	Q4 1891	1891	*
03.06.1933	06.1933	Q2 1933	1933	*
08.09.1876	09.1876	Q3 1876	1876	*
30.01.1881	01.1881	Q1 1881	1881	*
22.07.1887	07.1887	Q3 1887	1887	*
22.03.1891	03.1891	Q1 1891	1891	*
21.08.1942	08.1942	Q3 1942	1942	*
12.07.1856	07.1856	Q3 1856	1856	*
03.07.1954	07.1954	Q3 1954	1954	*
10.08.1884	08.1884	Q3 1884	1884	*
24.05.1930	05.1930	Q2 1930	1930	*
24.04.1998	04.1998	Q2 1998	1998	*
20.06.1882	06.1882	Q2 1882	1882	*
20.10.1894	10.1894	Q4 1894	1894	*
15.09.1867	09.1867	Q3 1867	1867	*
09.05.2000	05.2000	Q2 2000	2000	*
04.03.2012	03.2012	Q1 2012	2012	*
01.10.1928	10.1928	Q4 1928	1928	*
03.11.2012	11.2012	Q4 2012	2012	*
10.03.1904	03.1904	Q1 1904	1904	*
21.03.1860	03.1860	Q1 1860	1860	*
27.05.1941	05.1941	Q2 1941	1941	*
17.07.1923	07.1923	Q3 1923	1923	*
23.10.2013	10.2013	Q4 2013	2013	*
02.11.1946	11.1946	Q4 1946	1946	*
10.07.1977	07.1977	Q3 1977	1977	*
29.07.1987	07.1987	Q3 1987	1987	*
29.03.1970	03.1970	Q1 1970	1970	*
03.02.2003	02.2003	Q1 2003	2003	*
10.1939	10.1939	Q4 1939	1939	*
29.04.1858	04.1858	Q2 1858	1858	*
06.10.1877	10.1877	Q4 1877	1877	*
21.06.1929	06.1929	Q2 1929	1929	*
12.03.1963	03.1963	Q1 1963	1963	*
27.06.1912	06.1912	Q2 1912	1912	*
25.01.1961	01.1961	Q1 1961	1961	*
11.05.2004	05.2004	Q2 2004	2004	*
04.08.1996	08.1996	Q3 1996	1996	*
16.10.1917	10.1917	Q4 1917	1917	*
20.05.1974	05.1974	Q2 1974	1974	*
31.07.1856	07.1856	Q3 1856	1856	*
13.04.1970	04.1970	Q2 1970	1970	*
06.10.1996	10.1996	Q4 1996	1996	*
04.12.1935	12.1935	Q4 1935	1935	*
03.07.1963	07.1963	Q3 1963	1963	*
09.10.1927	10.1927	Q4 1927	1927	*
26.08.2001	08.2001	Q3 2001	2001	*
25.11.2003	11.2003	Q4 2003	2003	*
22.03.2015	03.2015	Q1 2015	2015	*
15.03.1989	03.1989	Q1 1989	1989	*
31.03.1898	03.1898	Q1 1898	1898	*
06.06.1914	06.1914	Q2 1914	1914	*
04.08.1942	08.1942	Q3 1942	1942	*
31.03.1949	03.1949	Q1 1949	1949	*
29.02.1880	02.1880	Q1 1880	1880	*
09.07.1991	07.1991	Q3 1991	1991	*
02.03.2015	03.2015	Q1 2015	2015	*
02.02.2010	02.2010	Q1 2010	2010	*
30.09.2007	09.2007	Q3 2007	2007	*
11.05.1858	05.1858	Q2 1858	1858	*
05.11.1916	11.1916	Q4 1916	1916	*
07.04.1858	04.1858	Q2 1858	1858	*
07.1909	07.1909	Q3 1909	1909	*
21.03.1896	03.1896	Q1 1896	1896	*
29.12.1999	12.1999	Q4 1999	1999	*
12.11.1863	11.1863	Q4 1863	1863	*
17.05.1924	05.1924	Q2 1924	1924	*
02.03.1927	03.1927	Q1 1927	1927	*
07.07.1882	07.1882	Q3 1882	1882	*
23.05.1885	05.1885	Q2 1885	1885	*
18.09.1994	09.1994	Q3 1994	1994	*
01.11.2008	11.2008	Q4 2008	2008	*
17.11.1883	11.1883	Q4 1883	1883	*
09.09.1986	09.1986	Q3 1986	1986	*
04.11.1925	11.1925	Q4 1925	1925	*
12.2009	12.2009	Q4 2009	2009	*
15.12.1863	12.1863	Q4 1863	1863	*
05.09.1859	09.1859	Q3 1859	1859	*
09.11.1919	11.1919	Q4 1919	1919	*
05.11.1977	11.1977	Q4 1977	1977	*
05.12.1907	12.1907	Q4 1907	1907	*
02.04.1915	04.1915	Q2 1915	1915	*
23.01.1964	01.1964	Q1 1964	1964	*
12.12.1896	12.1896	Q4 1896	1896	*
05.09.1965	09.1965	Q3 1965	1965	*
20.10.2011	10.2011	Q4 2011	2011	*
09.06.1852	06.1852	Q2 1852	1852	*
08.04.1908	04.1908	Q2 1908	1908	*
12.09.1934	09.1934	Q3 1934	1934	*
23.04.2000	04.2000	Q2 2000	2000	*
26.01.2007	01.2007	Q1 2007	2007	*
01.04.2012	04.2012	Q2 2012	2012	*
19.04.1923	04.1923	Q2 1923	1923	*
31.07.1980	07.1980	Q3 1980	1980	*
02.2005	02.2005	Q1 2005	2005	*
13.09.1890	09.1890	Q3 1890	1890	*
08.02.2006	02.2006	Q1 2006	2006	*
14.07.1909	07.1909	Q3 1909	1909	*
10.07.1853	07.1853	Q3 1853	1853	*
18.11.1927	11.1927	Q4 1927	1927	*
08.08.1961	08.1961	Q3 1961	1961	*
16.09.1989	09.1989	Q3 1989	1989	*
26.08.1869	08.1869	Q3 1869	1869	*
08.07.1874	07.1874	Q3 1874	1874	*
16.08.1909	08.1909	Q3 1909	1909	*
25.10.1946	10.1946	Q4 1946	1946	*
19.08.1851	08.1851	Q3 1851	1851	*
30.08.2014	08.2014	Q3 2014	2014	*
24.12.1880	12.1880	Q4 1880	1880	*
13.10.1881	10.1881	Q4 1881	1881	*
09.1956	09.1956	Q3 1956	1956	*
10.11.1955	11.1955	Q4 1955	1955	*
29.08.1978	08.1978	Q3 1978	1978	*
17.10.1874	10.1874	Q4 1874	1874	*
1916	1916	1916	1916	*
27.04.1872	04.1872	Q2 1872	1872	*
18.11.1893	11.1893	Q4 1893	1893	*
15.07.1958	07.1958	Q3 1958	1958	*
14.01.1985	01.1985	Q1 1985	1985	*
02.06.1964	06.1964	Q2 1964	1964	*
12.05.1852	05.1852	Q2 1852	1852	*
10.05.1883	05.1883	Q2 1883	1883	*
12.07.1911	07.1911	Q3 1911	1911	*
18.08.1906	08.1906	Q3 1906	1906	*
31.08.1917	08.1917	Q3 1917	1917	*
26.08.2005	08.2005	Q3 2005	2005	*
28.04.1898	04.1898	Q2 1898	1898	*
26.11.1924	11.1924	Q4 1924	1924	*
22.01.1930	01.1930	Q1 1930	1930	*
25.07.1951	07.1951	Q3 1951	1951	*
29.05.1857	05.1857	Q2 1857	1857	*
08.12.1994	12.1994	Q4 1994	1994	*
19.03.1942	03.1942	Q1 1942	1942	*
14.05.1919	05.1919	Q2 1919	1919	*
23.02.1883	02.1883	Q1 1883	1883	*
08.05.1953	05.1953	Q2 1953	1953	*
03.01.2006	01.2006	Q1 2006	2006	*
15.05.1921	05.1921	Q2 1921	1921	*
17.01.1903	01.1903	Q1 1903	1903	*
05.09.1985	09.1985	Q3 1985	1985	*
14.01.1882	01.1882	Q1 1882	1882	*
31.08.1988	08.1988	Q3 1988	1988	*
18.08.1897	08.1897	Q3 1897	1897	*
16.12.2010	12.2010	Q4 2010	2010	*
04.08.1863	08.1863	Q3 1863	1863	*
02.12.2009	12.2009	Q4 2009	2009	*
02.12.1852	12.1852	Q4 1852	1852	*
18.01.1855	01.1855	Q1 1855	1855	*
25.10.1867	10.1867	Q4 1867	1867	*
23.12.1885	12.1885	Q4 1885	1885	*
13.07.1992	07.1992	Q3 1992	1992	*
03.06.2015	06.2015	Q2 2015	2015	*
02.09.1942	09.1942	Q3 1942	1942	*
03.10.2011	10.2011	Q4 2011	2011	*
03.11.1852	11.1852	Q4 1852	1852	*
18.03.1936	03.1936	Q1 1936	1936	*
01.05.1902	05.1902	Q2 1902	1902	*
24.12.1882	12.1882	Q4 1882	1882	*
07.08.1947	08.1947	Q3 1947	1947	*
11.10.1887	10.1887	Q4 1887	1887	*
07.07.1977	07.1977	Q3 1977	1977	*
24.06.1891	06.1891	Q2 1891	1891	*
30.05.1913	05.1913	Q2 1913	1913	*
29.01.1864	01.1864	Q1 1864	1864	*
25.05.1895	05.1895	Q2 1895	1895	*
07.09.1900	09.1900	Q3 1900	1900	*
07.05.2006	05.2006	Q2 2006	2006	*
19.04.1877	04.1877	Q2 1877	1877	*
08.08.1860	08.1860	Q3 1860	1860	*
27.08.1918	08.1918	Q3 1918	1918	*
14.02.1859	02.1859	Q1 1859	1859	*
20.12.1857	12.1857	Q4 1857	1857	*
22.09.1956	09.1956	Q3 1956	1956	*
26.11.1971	11.1971	Q4 1971	1971	*
26.07.1944	07.1944	Q3 1944	1944	*
03.07.1994	07.1994	Q3 1994	1994	*
27.07.2016	07.2016	Q3 2016	2016	*
12.05.1966	05.1966	Q2 1966	1966	*
29.03.1989	03.1989	Q1 1989	1989	*
Q3 1962	Q3 1962	Q3 1962	1962	*
05.11.1859	11.1859	Q4 1859	1859	*
26.05.1887	05.1887	Q2 1887	1887	*
24.01.1894	01.1894	Q1 1894	1894	*
30.12.1963	12.1963	Q4 1963	1963	*
15.08.2012	08.2012	Q3 2012	2012	*
04.11.1883	11.1883	Q4 1883	1883	*
21.03.1915	03.1915	Q1 1915	1915	*
26.01.1984	01.1984	Q1 1984	1984	*
25.09.1883	09.1883	Q3 1883	1883	*
04.11.1895	11.1895	Q4 1895	1895	*
13.11.1901	11.1901	Q4 1901	1901	*
30.08.1886	08.1886	Q3 1886	1886	*
08.12.1967	12.1967	Q4 1967	1967	*
18.04.1884	04.1884	Q2 1884	1884	*
30.07.2006	07.2006	Q3 2006	2006	*
10.05.1935	05.1935	Q2 1935	1935	*
10.09.2007	09.2007	Q3 2007	2007	*
11.07.1933	07.1933	Q3 1933	1933	*
15.01.2014	01.2014	Q1 2014	2014	*
10.03.1914	03.1914	Q1 1914	1914	*
16.10.1985	10.1985	Q4 1985	1985	*
16.01.2021	01.2021	Q1 2021	2021	*
29.05.1917	05.1917	Q2 1917	1917	*
17.10.1971	10.1971	Q4 1971	1971	*
08.06.1892	06.1892	Q2 1892	1892	*
06.07.1874	07.1874	Q3 1874	1874	*
31.12.1874	12.1874	Q4 1874	1874	*
02.01.1917	01.1917	Q1 1917	1917	*
08.03.1866	03.1866	Q1 1866	1866	*
20.01.1861	01.1861	Q1 1861	1861	*
04.11.1998	11.1998	Q4 1998	1998	*
05.10.1887	10.1887	Q4 1887	1887	*
03.09.1954	09.1954	Q3 1954	1954	*
01.10.2008	10.2008	Q4 2008	2008	*
02.09.1964	09.1964	Q3 1964	1964	*
29.08.2012	08.2012	Q3 2012	2012	*
29.07.2011	07.2011	Q3 2011	2011	*
01.04.1929	04.1929	Q2 1929	1929	*
12.04.1946	04.1946	Q2 1946	1946	*
10.02.1952	02.1952	Q1 1952	1952	*
09.04.2009	04.2009	Q2 2009	2009	*
10.1899	10.1899	Q4 1899	1899	*
16.10.1861	10.1861	Q4 1861	1861	*
30.05.1940	05.1940	Q2 1940	1940	*
09.12.1945	12.1945	Q4 1945	1945	*
29.11.1955	11.1955	Q4 1955	1955	*
25.01.2008	01.2008	Q1 2008	2008	*
13.09.1922	09.1922	Q3 1922	1922	*
14.06.2021	06.2021	Q2 2021	2021	*
16.12.1874	12.1874	Q4 1874	1874	*
21.10.1886	10.1886	Q4 1886	1886	*
10.05.1975	05.1975	Q2 1975	1975	*
07.11.1904	11.1904	Q4 1904	1904	*
01.06.1860	06.1860	Q2 1860	1860	*
30.11.1891	11.1891	Q4 1891	1891	*
01.09.1877	09.1877	Q3 1877	1877	*
17.11.2001	11.2001	Q4 2001	2001	*
25.10.1896	10.1896	Q4 1896	1896	*
06.05.1982	05.1982	Q2 1982	1982	*
18.10.2006	10.2006	Q4 2006	2006	*
12.10.2019	10.2019	Q4 2019	2019	*
03.06.2019	06.2019	Q2 2019	2019	*
02.09.1915	09.1915	Q3 1915	1915	*
24.02.1932	02.1932	Q1 1932	1932	*
27.02.1876	02.1876	Q1 1876	1876	*
21.10.1940	10.1940	Q4 1940	1940	*
01.02.2018	02.2018	Q1 2018	2018	*
21.11.1926	11.1926	Q4 1926	1926	*
22.06.1875	06.1875	Q2 1875	1875	*
29.07.1879	07.1879	Q3 1879	1879	*
30.10.2020	10.2020	Q4 2020	2020	*
21.12.2007	12.2007	Q4 2007	2007	*
05.05.1893	05.1893	Q2 1893	1893	*
07.06.1976	06.1976	Q2 1976	1976	*
10.04.1946	04.1946	Q2 1946	1946	*
26.04.1904	04.1904	Q2 1904	1904	*
04.09.1987	09.1987	Q3 1987	1987	*
03.04.1913	04.1913	Q2 1913	1913	*
23.10.1858	10.1858	Q4 1858	1858	*
