L0	L1	L2
003902054223M8	00390205000001	00390000000000
0442	0442	0045
005006186381M8	00500618000001	00500000000000
3918	0191	0060
3768	0353	0037
004501309631M8	00450130000001	00450000000000
7938	0586	0079
3130	0917	0087
007404786598M8	00740478000001	00740000000000
1698	0917	0087
005604412399M8	00560441000001	00560000000000
8541	0430	0068
6748	0171	0079
003707198098M8	00370719000001	00370000000000
008706985306M8	00870698000001	00870000000000
2834	0624	0068
6499	0624	0068
005208343600M8	00520834000001	00520000000000
005601844592M8	00560184000001	00560000000000
5561	0502	0071
008406158251M8	00840615000001	00840000000000
2970	0792	0060
5805	0928	0060
1853	0714	0074
9191	0171	0079
003707257571M8	00370725000001	00370000000000
007904322897M8	00790432000001	00790000000000
006402841914M8	00640284000001	00640000000000
005202551655M8	00520255000001	00520000000000
1966	0698	0087
5746	0732	0087
007105029190M8	00710502000001	00710000000000
007407149145M8	00740714000001	00740000000000
006804306135M8	00680430000001	00680000000000
3788	0796	0079
8882	0502	0071
003902053795M7	00390205000001	00390000000000
2429	0803	0045
005002478480M8	00500247000001	00500000000000
006002725147M8	00600272000001	00600000000000
003902053235M8	00390205000001	00390000000000
006804308446M8	00680430000001	00680000000000
006001911637M8	00600191000001	00600000000000
3705	0725	0037
8669	0917	0087
008105575195M8	00810557000001	00810000000000
8236	0205	0039
5314	0284	0064
4190	0638	0068
003902051787M8	00390205000001	00390000000000
6428	0698	0087
007407143843M8	00740714000001	00740000000000
007404788851M8	00740478000001	00740000000000
3337	0205	0039
005202551371M8	00520255000001	00520000000000
006006611242M8	00600661000001	00600000000000
006806384504M8	00680638000001	00680000000000
003707259401M8	00370725000001	00370000000000
4670	0698	0087
6094	0732	0087
007907969748M7	00790796000001	00790000000000
008408994789M8	00840899000001	00840000000000
008105571376M8	00810557000001	00810000000000
008706986435M8	00870698000001	00870000000000
4857	0442	0045
9549	0928	0060
005202555281M8	00520255000001	00520000000000
3281	0184	0056
006001919321M8	00600191000001	00600000000000
007407142366M8	00740714000001	00740000000000
9639	0732	0087
008404804183M8	00840480000001	00840000000000
4175	0247	0050
006007922199M8	00600792000001	00600000000000
006009283092M7	00600928000001	00600000000000
005004868117M8	00500486000001	00500000000000
6015	0698	0087
005604418058M8	00560441000001	00560000000000
7491	0432	0079
6930	0714	0074
005609077124M8	00560907000001	00560000000000
007105023373M8	00710502000001	00710000000000
5779	0502	0071
4101	0638	0068
8947	0638	0068
005601843027M8	00560184000001	00560000000000
003701983608M8	00370198000001	00370000000000
7658	0714	0074
1725	0502	0071
6373	0205	0039
005604418025M7	00560441000001	00560000000000
9561	0615	0084
006804305801M8	00680430000001	00680000000000
8318	0247	0050
4487	0796	0079
004504427640M8	00450442000001	00450000000000
006808099555M8	00680809000001	00680000000000
007406897105M8	00740689000001	00740000000000
2156	0255	0052
007901718575M8	00790171000001	00790000000000
008706987411M8	00870698000001	00870000000000
6416	0901	0060
8956	0431	0037
005604415259M8	00560441000001	00560000000000
006806383219M8	00680638000001	00680000000000
5038	0198	0037
4846	0698	0087
008706987506M8	00870698000001	00870000000000
3519	0714	0074
003701987870M8	00370198000001	00370000000000
2106	0430	0068
5354	0732	0087
005205679379M8	00520567000001	00520000000000
006006618001M8	00600661000001	00600000000000
008706984372M8	00870698000001	00870000000000
003902056609M8	00390205000001	00390000000000
007407141965M8	00740714000001	00740000000000
008706981890M8	00870698000001	00870000000000
006001917366M8	00600191000001	00600000000000
7846	0205	0039
3964	0714	0074
2540	0171	0079
005006184049M8	00500618000001	00500000000000
6093	0191	0060
006001913754M8	00600191000001	00600000000000
008706985942M8	00870698000001	00870000000000
005202553937M8	00520255000001	00520000000000
6372	0205	0039
6031	0171	0079
9588	0917	0087
1359	0834	0052
2236	0486	0050
005604413590M8	00560441000001	00560000000000
007407144395M8	00740714000001	00740000000000
9088	0442	0045
008709172551M8	00870917000001	00870000000000
8569	0899	0084
1510	0809	0068
006402849422M8	00640284000001	00640000000000
005004869596M8	00500486000001	00500000000000
008707328363M8	00870732000001	00870000000000
4509	0714	0074
2931	0431	0037
003902058656M8	00390205000001	00390000000000
9592	0191	0060
007902838085M8	00790283000001	00790000000000
9243	0255	0052
4609	0714	0074
3749	0432	0079
007907937158M8	00790793000001	00790000000000
8409	0441	0056
003703386053M8	00370338000001	00370000000000
8578	0130	0045
007105027853M8	00710502000001	00710000000000
008408998264M8	00840899000001	00840000000000
005006187753M8	00500618000001	00500000000000
4826	0714	0074
7628	0732	0087
6559	0478	0074
006806388055M8	00680638000001	00680000000000
00790171000001	00790171000001	00790000000000
0553	0321	0045
8353	0622	0064
7404	0732	0087
005202552591M8	00520255000001	00520000000000
5720	0638	0068
007106688838M8	00710668000001	00710000000000
007407143292M8	00740714000001	00740000000000
5093	0725	0037
007106683724M8	00710668000001	00710000000000
1111	0698	0087
003902054844M8	00390205000001	00390000000000
6352	0557	0081
6317	0480	0084
4117	0171	0079
6673	0917	0087
1759	0917	0087
9498	0191	0060
4024	0855	0081
006006616850M8	00600661000001	00600000000000
006002722476M8	00600272000001	00600000000000
006001919593M8	00600191000001	00600000000000
2256	0708	0064
9323	0338	0037
006804304149M8	00680430000001	00680000000000
1576	0809	0068
005604412906M8	00560441000001	00560000000000
7248	0502	0071
006002723017M8	00600272000001	00600000000000
4043	0653	0037
1599	0714	0074
004508035142M8	00450803000001	00450000000000
5970	0928	0060
006406225445M8	00640622000001	00640000000000
3253	0205	0039
0478	0478	0074
8516	0714	0074
7912	0638	0068
7928	0732	0087
3367	0928	0060
4511	0317	0071
005006185894M8	00500618000001	00500000000000
003902056910M8	00390205000001	00390000000000
9490	0272	0060
005604412593M8	00560441000001	00560000000000
7573	0247	0050
8125	0353	0037
1097	0291	0079
007106687319M8	00710668000001	00710000000000
007905862966M8	00790586000001	00790000000000
3860	0714	0074
007407142414M8	00740714000001	00740000000000
007905866458M8	00790586000001	00790000000000
3664	0698	0087
9286	0432	0079
006406226825M8	00640622000001	00640000000000
007407143614M8	00740714000001	00740000000000
007407147473M8	00740714000001	00740000000000
3458	0618	0050
005601842466M8	00560184000001	00560000000000
008706984947M8	00870698000001	00870000000000
9227	0567	0052
9544	0430	0068
4493	0855	0081
4804	0732	0087
8954	0353	0037
1316	0668	0071
4314	0809	0068
007407147689M8	00740714000001	00740000000000
4114	0732	0087
008105575540M8	00810557000001	00810000000000
7005	0855	0081
6135	0430	0068
005002476727M8	00500247000001	00500000000000
0130	0130	0045
2815	0708	0064
6371	0557	0081
008707327315M8	00870732000001	00870000000000
8690	0184	0056
008408996885M8	00840899000001	00840000000000
1994	0651	0037
003902057900M8	00390205000001	00390000000000
005202558110M8	00520255000001	00520000000000
3269	0803	0045
005205677083M7	00520567000001	00520000000000
3483	0714	0074
6386	0698	0087
1050	0653	0037
8872	0247	0050
008706984956M8	00870698000001	00870000000000
8372	0917	0087
003707256588M8	00370725000001	00370000000000
007407143123M8	00740714000001	00740000000000
1734	0205	0039
2976	0725	0037
005202554022M8	00520255000001	00520000000000
006001918787M8	00600191000001	00600000000000
008706984670M8	00870698000001	00870000000000
6825	0622	0064
9627	0714	0074
003702454494M8	00370245000001	00370000000000
006804302106M8	00680430000001	00680000000000
4834	0714	0074
00600903000001	00600903000001	00600000000000
003902056297M8	00390205000001	00390000000000
1286	0567	0052
8022	0338	0037
2159	0255	0052
5395	0272	0060
003707251141M8	00370725000001	00370000000000
008706988357M8	00870698000001	00870000000000
005002478861M8	00500247000001	00500000000000
008108243611M8	00810824000001	00810000000000
006406222471M8	00640622000001	00640000000000
7058	0661	0060
003703057880M8	00370305000001	00370000000000
4428	0255	0052
8488	0624	0068
8334	0796	0079
005202552230M8	00520255000001	00520000000000
1262	0698	0087
2628	0480	0084
5260	0719	0037
8220	0430	0068
7660	0622	0064
003902052467M8	00390205000001	00390000000000
007902835949M8	00790283000001	00790000000000
4153	0834	0052
8415	0698	0087
008709174386M8	00870917000001	00870000000000
008408993711M8	00840899000001	00840000000000
8546	0557	0081
4297	0732	0087
005208346948M8	00520834000001	00520000000000
003902055978M8	00390205000001	00390000000000
008706985024M8	00870698000001	00870000000000
8195	0191	0060
007407145723M8	00740714000001	00740000000000
1167	0291	0079
007902833585M8	00790283000001	00790000000000
005604418437M8	00560441000001	00560000000000
7858	0622	0064
008406153226M8	00840615000001	00840000000000
008404805178M8	00840480000001	00840000000000
008709176220M8	00870917000001	00870000000000
6583	0255	0052
4258	0130	0045
6247	0615	0084
6872	0338	0037
6396	0514	0045
8446	0430	0068
004504423576M8	00450442000001	00450000000000
005604417829M8	00560441000001	00560000000000
8336	0714	0074
005202559575M8	00520255000001	00520000000000
008707324785M8	00870732000001	00870000000000
007907962550M8	00790796000001	00790000000000
8785	0441	0056
1675	0890	0037
1294	0191	0060
004501306327M8	00450130000001	00450000000000
4998	0615	0084
5003	0855	0081
0919	0919	0087
003704315925M5	00370431000001	00370000000000
004504421132M8	00450442000001	00450000000000
008707322003M8	00870732000001	00870000000000
5427	0586	0079
2498	0293	0071
00680303000001	00680303000001	00680000000000
003703383363M8	00370338000001	00370000000000
8740	0661	0060
3470	0732	0087
7706	0214	0068
5520	0668	0071
6764	0486	0050
1972	0698	0087
4534	0890	0037
008707325297M8	00870732000001	00870000000000
007907967671M8	00790796000001	00790000000000
8293	0191	0060
008408994763M8	00840899000001	00840000000000
1876	0732	0087
006808096425M8	00680809000001	00680000000000
3706	0698	0087
008406156247M8	00840615000001	00840000000000
007901713457M8	00790171000001	00790000000000
005604413514M8	00560441000001	00560000000000
008408992776M8	00840899000001	00840000000000
6068	0191	0060
3744	0714	0074
9022	0714	0074
9431	0247	0050
008706984071M8	00870698000001	00870000000000
006407089527M8	00640708000001	00640000000000
9126	0293	0071
4824	0430	0068
4709	0796	0079
5378	0917	0087
005604413539M8	00560441000001	00560000000000
007106686772M8	00710668000001	00710000000000
007404788418M8	00740478000001	00740000000000
6403	0184	0056
3741	0615	0084
006009285132M8	00600928000001	00600000000000
5024	0698	0087
005006186048M8	00500618000001	00500000000000
006009285508M8	00600928000001	00600000000000
5442	0191	0060
9283	0353	0037
4203	0917	0087
008105573286M8	00810557000001	00810000000000
006406226347M8	00640622000001	00640000000000
6134	0834	0052
003701417068M8	00370141000001	00370000000000
007902836884M8	00790283000001	00790000000000
008108558368M8	00810855000001	00810000000000
1076	0618	0050
008707324804M8	00870732000001	00870000000000
006002724498M8	00600272000001	00600000000000
005002478318M8	00500247000001	00500000000000
7345	0714	0074
003902054890M8	00390205000001	00390000000000
006802144746M8	00680214000001	00680000000000
00520567000001	00520567000001	00520000000000
8577	0430	0068
008707321998M8	00870732000001	00870000000000
5791	0903	0060
4551	0618	0050
5114	0901	0060
005202552702M8	00520255000001	00520000000000
6545	0698	0087
003701981774M7	00370198000001	00370000000000
1911	0698	0087
008707323454M8	00870732000001	00870000000000
5899	0191	0060
2699	0171	0079
4728	0668	0071
008707327274M8	00870732000001	00870000000000
3442	0567	0052
007902918987M8	00790291000001	00790000000000
00560184000001	00560184000001	00560000000000
1067	0714	0074
003701984002M8	00370198000001	00370000000000
006009031402M7	00600903000001	00600000000000
6252	0557	0081
007106682553M7	00710668000001	00710000000000
9691	0430	0068
006407081329M8	00640708000001	00640000000000
006807126143M8	00680712000001	00680000000000
2727	0284	0064
7283	0184	0056
006806244753M8	00680624000001	00680000000000
3898	0732	0087
5191	0638	0068
005208346505M8	00520834000001	00520000000000
7372	0714	0074
006009011025M8	00600901000001	00600000000000
1196	0478	0074
005205678917M8	00520567000001	00520000000000
4771	0624	0068
3814	0903	0060
4284	0214	0068
006001913934M8	00600191000001	00600000000000
5176	0698	0087
006009011275M8	00600901000001	00600000000000
008406152456M8	00840615000001	00840000000000
3941	0698	0087
8388	0255	0052
006006618610M8	00600661000001	00600000000000
8189	0171	0079
005202552073M8	00520255000001	00520000000000
4602	0668	0071
9187	0502	0071
4155	0834	0052
6822	0171	0079
5183	0205	0039
2397	0714	0074
007106683294M8	00710668000001	00710000000000
3124	0824	0081
007407146448M8	00740714000001	00740000000000
006406227660M8	00640622000001	00640000000000
006804308401M8	00680430000001	00680000000000
007907968016M7	00790796000001	00790000000000
4401	0917	0087
2008	0698	0087
3760	0205	0039
6903	0205	0039
3665	0441	0056
003708905104V8	00370890000001	00370000000000
006007927221M8	00600792000001	00600000000000
8152	0567	0052
005205675275M8	00520567000001	00520000000000
006402846209M8	00640284000001	00640000000000
008707326375M8	00870732000001	00870000000000
2356	0714	0074
4866	0732	0087
9674	0205	0039
1410	0792	0060
007901712540M8	00790171000001	00790000000000
0214	0214	0068
006806389267M8	00680638000001	00680000000000
3035	0130	0045
3923	0622	0064
007105024647M8	00710502000001	00710000000000
007407145388M8	00740714000001	00740000000000
0305	0305	0037
5399	0430	0068
007407143258M8	00740714000001	00740000000000
3127	0638	0068
3041	0732	0087
005604419083M8	00560441000001	00560000000000
1030	0638	0068
2500	0792	0060
3654	0430	0068
5503	0205	0039
003902054612M8	00390205000001	00390000000000
007102933391M8	00710293000001	00710000000000
005004868819M8	00500486000001	00500000000000
7787	0917	0087
7652	0917	0087
003902056372M8	00390205000001	00390000000000
006407085437M8	00640708000001	00640000000000
4892	0214	0068
006009282437M8	00600928000001	00600000000000
6699	0586	0079
006806247663M8	00680624000001	00680000000000
006806244354M8	00680624000001	00680000000000
2781	0661	0060
3119	0719	0037
008706984160M8	00870698000001	00870000000000
7825	0480	0084
5513	0441	0056
3799	0668	0071
004501305217M8	00450130000001	00450000000000
9506	0792	0060
1787	0205	0039
1526	0130	0045
8140	0792	0060
008709171698M8	00870917000001	00870000000000
006009019395M8	00600901000001	00600000000000
5954	0247	0050
007907963872M8	00790796000001	00790000000000
005006182582M8	00500618000001	00500000000000
1801	0205	0039
7272	0698	0087
1182	0901	0060
5220	0714	0074
008706985035M8	00870698000001	00870000000000
9571	0732	0087
003704315343M8	00370431000001	00370000000000
9106	0130	0045
9053	0586	0079
7433	0480	0084
8326	0809	0068
6726	0661	0060
3719	0714	0074
2324	0714	0074
4650	0899	0084
0084	0084	0084
6485	0698	0087
7122	0353	0037
7882	0353	0037
008406153690M8	00840615000001	00840000000000
007105029007M8	00710502000001	00710000000000
5375	0615	0084
4694	0698	0087
1217	0712	0068
8861	0247	0050
6073	0247	0050
006804302912M8	00680430000001	00680000000000
3054	0205	0039
008707329607M8	00870732000001	00870000000000
6968	0441	0056
7259	0430	0068
9710	0855	0081
6989	0725	0037
2403	0247	0050
2703	0732	0087
004501302586M8	00450130000001	00450000000000
7562	0353	0037
2626	0903	0060
6345	0917	0087
007407141052M8	00740714000001	00740000000000
5165	0441	0056
5836	0714	0074
008709173921M8	00870917000001	00870000000000
9394	0901	0060
005208349337M8	00520834000001	00520000000000
007407149357M8	00740714000001	00740000000000
005202556627M8	00520255000001	00520000000000
8472	0719	0037
5041	0698	0087
8335	0586	0079
006402849472M8	00640284000001	00640000000000
008706981689M8	00870698000001	00870000000000
006804303113M8	00680430000001	00680000000000
5237	0899	0084
008707328416M8	00870732000001	00870000000000
003902056145M8	00390205000001	00390000000000
4496	0245	0037
1453	0732	0087
007907932659M8	00790793000001	00790000000000
7702	0430	0068
007907968966M8	00790796000001	00790000000000
007407145414M8	00740714000001	00740000000000
008408997653M8	00840899000001	00840000000000
8310	0480	0084
005205675860L5	00520567000001	00520000000000
8267	0917	0087
6381	0618	0050
4477	0834	0052
008105574146M8	00810557000001	00810000000000
1715	0317	0071
4956	0698	0087
4957	0698	0087
006807126705M8	00680712000001	00680000000000
9787	0586	0079
4058	0478	0074
9200	0442	0045
008706987409M8	00870698000001	00870000000000
006804307519M8	00680430000001	00680000000000
006007928903M8	00600792000001	00600000000000
4410	0708	0064
5595	0899	0084
008709177888M8	00870917000001	00870000000000
00370719000001	00370719000001	00370000000000
3869	0205	0039
005006184567M8	00500618000001	00500000000000
7500	0586	0079
007106689050M8	00710668000001	00710000000000
008709174373M8	00870917000001	00870000000000
008709178385M8	00870917000001	00870000000000
1562	0191	0060
3420	0824	0081
004504426894M8	00450442000001	00450000000000
005208343735M8	00520834000001	00520000000000
5355	0622	0064
1533	0247	0050
3817	0714	0074
3288	0792	0060
6927	0130	0045
003707255467M8	00370725000001	00370000000000
008706983990M8	00870698000001	00870000000000
9007	0502	0071
7341	0698	0087
6955	0171	0079
3454	0732	0087
008108249025M8	00810824000001	00810000000000
3635	0698	0087
9812	0441	0056
006402842387M8	00640284000001	00640000000000
6703	0792	0060
2986	0903	0060
008408992153M8	00840899000001	00840000000000
2209	0353	0037
003704314096M8	00370431000001	00370000000000
007105021219M8	00710502000001	00710000000000
005601847275M8	00560184000001	00560000000000
005002477762M8	00500247000001	00500000000000
6662	0502	0071
004505148895M8	00450514000001	00450000000000
8779	0214	0068
003703385656M8	00370338000001	00370000000000
9139	0191	0060
9616	0184	0056
3883	0917	0087
007905867127M8	00790586000001	00790000000000
5020	0480	0084
4981	0899	0084
008709173956M8	00870917000001	00870000000000
3831	0502	0071
8971	0668	0071
007407145139M8	00740714000001	00740000000000
2530	0668	0071
006009285805M8	00600928000001	00600000000000
008406155669M7	00840615000001	00840000000000
008707329639M8	00870732000001	00870000000000
008408996789M7	00840899000001	00840000000000
2878	0714	0074
006806387108M8	00680638000001	00680000000000
006009039096M8	00600903000001	00600000000000
1043	0901	0060
005604419803M8	00560441000001	00560000000000
007407147351M8	00740714000001	00740000000000
1041	0834	0052
008706985099M8	00870698000001	00870000000000
4290	0205	0039
007901714117M8	00790171000001	00790000000000
3474	0353	0037
3273	0255	0052
7262	0901	0060
006806387838M8	00680638000001	00680000000000
9631	0130	0045
7091	0430	0068
0480	0480	0084
008408999305M8	00840899000001	00840000000000
003702453385M8	00370245000001	00370000000000
003704314211M8	00370431000001	00370000000000
4430	0624	0068
3903	0917	0087
7988	0796	0079
008707329484M8	00870732000001	00870000000000
7560	0712	0068
008709176345M8	00870917000001	00870000000000
2442	0714	0074
007907964900M8	00790796000001	00790000000000
7760	0441	0056
004504427680M7	00450442000001	00450000000000
008706987397M8	00870698000001	00870000000000
0901	0901	0060
8279	0668	0071
008406153782M7	00840615000001	00840000000000
5272	0205	0039
7314	0586	0079
003704313682M8	00370431000001	00370000000000
008108241152M8	00810824000001	00810000000000
008406153529M8	00840615000001	00840000000000
8254	0272	0060
008701428733M8	00870142000001	00870000000000
008709179074M8	00870917000001	00870000000000
3924	0928	0060
8600	0714	0074
6308	0725	0037
7762	0247	0050
5709	0586	0079
003704312909M8	00370431000001	00370000000000
8097	0255	0052
008709176430M8	00870917000001	00870000000000
003703537390M8	00370353000001	00370000000000
4228	0732	0087
007407143601M8	00740714000001	00740000000000
007105022668M8	00710502000001	00710000000000
003707253285V8	00370725000001	00370000000000
008709176864M8	00870917000001	00870000000000
008706986128M8	00870698000001	00870000000000
2903	0293	0071
005604412904M8	00560441000001	00560000000000
004505147619M7	00450514000001	00450000000000
005202552343M8	00520255000001	00520000000000
006001911463M8	00600191000001	00600000000000
007902834085M8	00790283000001	00790000000000
006804309691M8	00680430000001	00680000000000
006006619196M8	00600661000001	00600000000000
4012	0514	0045
006806385610M8	00680638000001	00680000000000
4459	0486	0050
3625	0714	0074
003701988257V8	00370198000001	00370000000000
3884	0486	0050
2473	0430	0068
5198	0171	0079
2099	0247	0050
8209	0205	0039
2493	0638	0068
9018	0714	0074
003707194481M8	00370719000001	00370000000000
7640	0442	0045
9265	0431	0037
9375	0901	0060
007106685522M8	00710668000001	00710000000000
4884	0514	0045
007407145528M8	00740714000001	00740000000000
6580	0255	0052
4014	0725	0037
1367	0245	0037
6802	0430	0068
007105023080M8	00710502000001	00710000000000
004508037063M8	00450803000001	00450000000000
007102933846M8	00710293000001	00710000000000
006804309192M8	00680430000001	00680000000000
3404	0442	0045
007407144129M8	00740714000001	00740000000000
2682	0291	0079
2809	0796	0079
008706986287M8	00870698000001	00870000000000
007902832641M7	00790283000001	00790000000000
008709176411V8	00870917000001	00870000000000
9508	0901	0060
007105024503M8	00710502000001	00710000000000
007905864055M8	00790586000001	00790000000000
8584	0732	0087
7172	0917	0087
3546	0338	0037
4395	0714	0074
6734	0714	0074
003703382485M8	00370338000001	00370000000000
008706986290M8	00870698000001	00870000000000
2145	0698	0087
008404808701M8	00840480000001	00840000000000
5389	0245	0037
3178	0247	0050
005006182438M8	00500618000001	00500000000000
8747	0205	0039
3518	0247	0050
3932	0928	0060
007106685608M8	00710668000001	00710000000000
008706982738M8	00870698000001	00870000000000
008706986362M8	00870698000001	00870000000000
008707328266M8	00870732000001	00870000000000
7221	0792	0060
8851	0478	0074
5199	0698	0087
3700	0130	0045
005202556398M8	00520255000001	00520000000000
008707324228M8	00870732000001	00870000000000
007905865981M8	00790586000001	00790000000000
008108558535M8	00810855000001	00810000000000
3770	0708	0064
008706987431M8	00870698000001	00870000000000
8802	0698	0087
1163	0917	0087
003706516098M8	00370651000001	00370000000000
008701428801M8	00870142000001	00870000000000
1805	0668	0071
007407142857M8	00740714000001	00740000000000
7543	0714	0074
6432	0586	0079
5725	0714	0074
008707327549M8	00870732000001	00870000000000
7462	0430	0068
005208348594V5	00520834000001	00520000000000
2496	0293	0071
005202559825M8	00520255000001	00520000000000
9503	0615	0084
5052	0486	0050
008408997076M8	00840899000001	00840000000000
5279	0557	0081
8469	0284	0064
8994	0917	0087
006802148724M8	00680214000001	00680000000000
00600000000000	00600000000000	00600000000000
007902913677M8	00790291000001	00790000000000
007407146418M8	00740714000001	00740000000000
007905861181M7	00790586000001	00790000000000
1484	0928	0060
005202551920M8	00520255000001	00520000000000
003704316528M8	00370431000001	00370000000000
006804304695M8	00680430000001	00680000000000
5841	0130	0045
005208343874M8	00520834000001	00520000000000
1893	0698	0087
005002477323M8	00500247000001	00500000000000
003703054633M8	00370305000001	00370000000000
9794	0725	0037
003902053433M8	00390205000001	00390000000000
007905282327M8	00790528000001	00790000000000
5447	0171	0079
008706982145M8	00870698000001	00870000000000
2506	0255	0052
006808093077M8	00680809000001	00680000000000
003704311782M8	00370431000001	00370000000000
6888	0478	0074
5142	0803	0045
4406	0430	0068
005006182461M8	00500618000001	00500000000000
3626	0586	0079
2869	0622	0064
003707259146M8	00370725000001	00370000000000
008706982968M8	00870698000001	00870000000000
008706987341M8	00870698000001	00870000000000
9777	0928	0060
005002479721M8	00500247000001	00500000000000
1874	0714	0074
006007922762M8	00600792000001	00600000000000
007902911365M8	00790291000001	00790000000000
008105572880M8	00810557000001	00810000000000
003701414672M8	00370141000001	00370000000000
007905863703M8	00790586000001	00790000000000
005601843090M8	00560184000001	00560000000000
005002473676M8	00500247000001	00500000000000
003708906672V8	00370890000001	00370000000000
3451	0732	0087
1772	0698	0087
3467	0486	0050
2981	0907	0056
008707323494M8	00870732000001	00870000000000
006007921048M8	00600792000001	00600000000000
2694	0917	0087
007106686443M8	00710668000001	00710000000000
003703387191M8	00370338000001	00370000000000
9721	0247	0050
004501301443M8	00450130000001	00450000000000
2792	0430	0068
8321	0184	0056
006407087289M8	00640708000001	00640000000000
5269	0708	0064
6505	0834	0052
5717	0668	0071
007901719260M8	00790171000001	00790000000000
0615	0615	0084
004501301165M8	00450130000001	00450000000000
9492	0255	0052
007907966437M8	00790796000001	00790000000000
003902056460M8	00390205000001	00390000000000
007407145257M8	00740714000001	00740000000000
008406159036M8	00840615000001	00840000000000
7353	0293	0071
6233	0247	0050
9314	0514	0045
007902915245M8	00790291000001	00790000000000
007407148652M8	00740714000001	00740000000000
9570	0291	0079
007106683799M8	00710668000001	00710000000000
1144	0615	0084
003706536036M8	00370653000001	00370000000000
7121	0431	0037
007407144385M8	00740714000001	00740000000000
007404784353M8	00740478000001	00740000000000
3415	0284	0064
4902	0305	0037
7441	0528	0079
9153	0901	0060
005601848769V7	00560184000001	00560000000000
007407148697M8	00740714000001	00740000000000
008406152013M8	00840615000001	00840000000000
4722	0431	0037
008105574573M8	00810557000001	00810000000000
003706535891V8	00370653000001	00370000000000
6624	0502	0071
006006611259M8	00600661000001	00600000000000
6799	0714	0074
007901718846M8	00790171000001	00790000000000
007905862858M8	00790586000001	00790000000000
008707327045M8	00870732000001	00870000000000
003706538454M8	00370653000001	00370000000000
8961	0668	0071
9514	0796	0079
003707254739M8	00370725000001	00370000000000
003708901984M8	00370890000001	00370000000000
